left	cd
right	gh
Pmin	23,5
Pmax	25,0

v*	p*	T*	N	a	b	c	d	e
0,0027	25	660	38	0,872	0,971	1	1	4

i	Ii	Ji	ni
1	-12	7	4,12209E-05
2	-12	12	-1149872,383
3	-12	14	9481808850
4	-12	18	-1,95789E+17
5	-12	22	4,96251E+24
6	-12	24	-1,0555E+28
7	-10	14	-7,58642E+11
8	-10	20	-9,22173E+22
9	-10	24	7,25379E+29
10	-8	7	-61,77182492
11	-8	8	10755,50333
12	-8	10	-37954580,23
13	-8	12	2,28647E+11
14	-6	8	-4997410,93
15	-6	22	-2,80214E+30
16	-5	7	1049154,068
17	-5	20	6,13754E+27
18	-4	22	8,02057E+31
19	-3	7	-29861781,98
20	-2	3	-91,07825401
21	-2	5	135033,2273
22	-2	14	-7,12949E+18
23	-2	24	-1,04579E+36
24	-1	2	30,43315844
25	-1	8	5932507980
26	-1	18	-3,64174E+27
27	0	0	0,921791404
28	0	1	-0,33769361
29	0	2	-72,46441438
30	1	0	-0,110480239
31	1	1	5,365160319
32	1	3	-2914,418722
33	3	24	6,16338E+39
34	5	22	-1,20889E+38
35	6	12	8,18396E+22
36	8	3	940781944,8
37	10	0	-36727,96695
38	10	6	-8,37514E+15
