__left__	"cd"
__right__	"gh"
__Pmin__	22.5
__Pmax__	23.5

__v*__	__p*__	__T*__	__N__	__a__	__b__	__c__	__d__	__e__
0.0026	24	650	43	0.908	0.989	1	1	4

__i__	__Ii__	__Ji__	__ni__
1	-12	14	2607020586
2	-12	16	-1.88277E+14
3	-12	18	5.54924E+18
4	-12	20	-7.58967E+22
5	-12	22	4.13865E+26
6	-10	14	-8.15038E+11
7	-10	24	-3.81458E+32
8	-8	6	-0.012323956
9	-8	10	22609563.14
10	-8	12	-4.95018E+11
11	-8	14	5.29483E+15
12	-8	18	-4.44359E+22
13	-8	24	5.21636E+34
14	-8	36	-4.87096E+54
15	-6	8	-714430.2099
16	-5	4	0.127868635
17	-5	5	-10.07521279
18	-4	7	7774514.38
19	-4	16	-1.08105E+24
20	-3	1	-3.57579E-06
21	-3	3	-2.128571694
22	-3	18	2.70706E+29
23	-3	20	-6.95954E+32
24	-2	2	0.110609027
25	-2	3	72.15591634
26	-2	10	-3.06367E+14
27	-1	0	2.6584E-05
28	-1	1	0.025339239
29	-1	3	-214.4430418
30	0	0	0.937846601
31	0	1	2.231840431
32	0	2	33.84012225
33	0	12	4.94237E+20
34	1	0	-0.198068404
35	1	16	-1.41415E+30
36	2	1	-99.38624216
37	4	0	125.0705341
38	5	0	-996.473529
39	5	1	47313.79099
40	6	14	1.16662E+32
41	10	4	-3.15875E+15
42	10	12	-4.45703E+32
43	14	10	6.42795E+32
