__left__	=   "cd"
__right__	=   "qu"
__Pmin__	=   21.04336732
__Pmax__	=   22.5

__v*__	=   0.0022
__p*__	=   23
__T*__	=   650
__N__	=   24
__a__	=   0.848
__b__	=   0.983
__c__	=   1
__d__	=   1
__e__   =   4

__i__	__Ii__	__Ji__	__ni__
1	-12	10	-82043.38433
2	-12	12	47327151846
3	-10	6	-0.080595002
4	-10	7	32.86000254
5	-10	8	-3566.1703
6	-10	10	-1729857814
7	-8	8	35176923.27
8	-6	6	-775489.26
9	-5	2	7.10347E-05
10	-5	5	99349.98838
11	-4	3	-0.642094172
12	-4	4	-6128.428168
13	-3	3	232.808473
14	-2	0	-1.42808E-05
15	-2	1	-0.006435961
16	-2	2	-4.285772275
17	-2	4	2256.899392
18	-1	0	0.001003557
19	-1	1	0.333491455
20	-1	2	1.096975769
21	0	0	0.961917379
22	1	0	-0.083816563
23	1	1	2.477959084
24	1	3	-3191.14969

